threshold,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1_score,false_negative_rate,total_fraud_detected
0.5,1162,728,43,67,0.08427672955974842,0.6090909090909091,0.14806629834254142,0.39090909090909093,67
0.45,1112,778,39,71,0.08362779740871613,0.6454545454545455,0.1480709071949948,0.35454545454545455,71
0.4,1059,831,37,73,0.08075221238938053,0.6636363636363637,0.14398422090729784,0.33636363636363636,73
0.35,985,905,32,78,0.07934893184130214,0.7090909090909091,0.14272644098810613,0.2909090909090909,78
0.3,930,960,26,84,0.08045977011494253,0.7636363636363637,0.14558058925476602,0.23636363636363636,84
0.25,868,1022,25,85,0.07678410117434507,0.7727272727272727,0.13968775677896467,0.22727272727272727,85
